"","SUMGROUP","Season","All_Bio_SUM","All_Den_SUM","All_Bio_MEAN","All_Den_MEAN","All_Bio_SD","All_Den_SD","N","All_Bio_SE","All_Den_SE"
"43","LIMNO","Early Fall",140.242240142,2.310118837,10.0173028672857,0.165008488357143,8.68607512079728,0.144967801613927,14,2.32145122412889,0.038744274696652
"44","LIMNO","Early Spring",7.883151072,0.141969841,0.985393884,0.017746230125,0.791232957281744,0.0135644367135903,8,0.279743094796103,0.00479575259157772
"45","LIMNO","Early Summer",349.383402967,9.255160891,11.2704323537742,0.298553577129032,11.3392827463177,0.252383826842582,31,2.03659530241938,0.0453294734467351
"46","LIMNO","Late Fall",33.032212803,0.603746695,8.25805320075,0.15093667375,4.74334758630026,0.0874814353706602,4,2.37167379315013,0.0437407176853301
"47","LIMNO","Late Spring",95.448249182,6.590543643,2.9827577869375,0.20595448884375,2.30173664675175,0.168867204699494,32,0.406893397855936,0.0298517863907572
"48","LIMNO","Late Summer",110.030972469,1.820877453,12.2256636076667,0.202319717,9.27879973908122,0.149789570548912,9,3.09293324636041,0.0499298568496375
"49","LIMNO","Summer",221.289398818,3.967989225,7.37631329393333,0.1322663075,9.82702048095993,0.17379495343389,30,1.79416026349567,0.0317304721254338
"50","NDAP","Early Fall",6.426105006,3.055638514,0.459007500428571,0.218259893857143,0.475193610158661,0.24269133666636,14,0.127000834399852,0.0648619880388377
"51","NDAP","Early Spring",0,0,0,0,0,0,8,0,0
"52","NDAP","Early Summer",1.614057762,0.313968674,0.0520663794193548,0.0101280217419355,0.142001625910286,0.0186716298184261,31,0.0255042449099101,0.00335352371287056
"53","NDAP","Late Fall",0.775129737,0.327554247,0.19378243425,0.08188856175,0.13781470552107,0.056624802413857,4,0.0689073527605349,0.0283124012069285
"54","NDAP","Late Spring",0.005622442,0.009342443,0.0001757013125,0.00029195134375,0.000867854829180863,0.00135652210877351,32,0.00015341650869982,0.000239801495485806
"55","NDAP","Late Summer",13.155748182,3.625747319,1.461749798,0.402860813222222,2.38229692235189,0.573199512590077,9,0.794098974117297,0.191066504196692
"56","NDAP","Summer",13.284585452,5.654514466,0.442819515066667,0.188483815533333,0.74791363585115,0.357665247392055,30,0.13654972314046,0.0653004413440981
