"","Species","Year","All_Bio_SUM","All_Den_SUM","All_Bio_MEAN","All_Den_MEAN","All_Bio_SD","All_Den_SD","N","All_Bio_SE","All_Den_SE"
"21","Daphnia lumholtzi","2016",19.195092301,11.029228107,3.19918205016667,1.8382046845,6.44186080621639,2.87602910459752,6,2.629878661544,1.17413396527625
"22","Daphnia lumholtzi","2017",14.43895043,11.47062653,2.40649173833333,1.91177108833333,5.89467682913996,4.68286367142193,6,2.40649173833333,1.91177108833333
"23","Daphnia lumholtzi","2018",8.046833601,9.937479374,1.3411389335,1.65624656233333,3.28510606125542,4.0569589659554,6,1.3411389335,1.65624656233333
"24","Daphnia lumholtzi","2019",2.560159233,3.360025188,0.4266932055,0.560004198,1.04518063018752,1.37172453891652,6,0.4266932055,0.560004198
"25","Diaphanosoma fluviatile","2012",0,0,0,0,0,0,6,0,0
"26","Diaphanosoma fluviatile","2013",0,0,0,0,0,0,6,0,0
"27","Diaphanosoma fluviatile","2014",0,0,0,0,0,0,6,0,0
"28","Diaphanosoma fluviatile","2015",0,0,0,0,0,0,6,0,0
"29","Diaphanosoma fluviatile","2016",0,0,0,0,0,0,6,0,0
"30","Diaphanosoma fluviatile","2017",0,0,0,0,0,0,6,0,0
"31","Diaphanosoma fluviatile","2018",6232.78,3226.35,1038.79666666667,537.725,1535.66840640376,692.678425555467,6,626.9340016337,282.784783074219
"32","Diaphanosoma fluviatile","2019",797.05160817,393.14511396,132.841934695,65.52418566,251.804032784759,130.905478490037,6,102.798565916284,53.4419378059115
"33","Eubosmina coregoni","2012",50696.905705161,49495.86624929,8449.4842841935,8249.31104154833,6715.18169590541,6453.08956986645,6,2741.46144750761,2634.46278510816
"34","Eubosmina coregoni","2013",153071.507901,122212.902846,25511.9179835,20368.817141,39500.2891229025,32875.4950960607,6,16125.9255072533,13421.3646711199
"35","Eubosmina coregoni","2014",222962.67106846,134854.01123457,37160.4451780767,22475.668539095,64096.3659308006,37500.8910113199,6,26167.2318161956,15309.674646243
"36","Eubosmina coregoni","2015",53100.62047454,34234.203562177,8850.10341242333,5705.70059369617,13313.7901472443,8162.05898618137,6,5435.33206720711,3332.14662777375
"37","Eubosmina coregoni","2016",4043.02274426,3219.09134038,673.837124043333,536.515223396667,646.02084194815,494.569609687801,6,263.736904329358,201.907197670425
"38","Eubosmina coregoni","2017",4778.9615506,3191.26300972,796.493591766667,531.877168286667,1452.33018981912,961.969769187121,6,592.911317182715,392.722513748559
"39","Eubosmina coregoni","2018",136217.0035386,121627.9214216,22702.8339231,20271.3202369333,28075.1277486647,23897.4764008339,6,11461.6229079469,9756.10388704097
"40","Eubosmina coregoni","2019",34625.5496523,22881.9091084,5770.92494205,3813.65151806667,7215.51021387622,4659.25509077708,6,2945.71970963951,1902.1329256448
"41","Eurytemora carolleeae","2012",4646.2828134,775.0545101,774.3804689,129.175751683333,1048.61523665331,176.135171793468,6,428.095377718073,71.9068827752423
"42","Eurytemora carolleeae","2013",6230.5665819,981.64995024,1038.42776365,163.60832504,1238.74061302584,199.146020067575,6,505.713737595958,81.3010222452698
"43","Eurytemora carolleeae","2014",9918.808896,1483.17321305,1653.134816,247.195535508333,1085.05338483043,155.851420796589,6,442.971189419051,63.6260761065716
"44","Eurytemora carolleeae","2015",10089.34494778,1652.037240373,1681.55749129667,275.339540062167,2278.47315637176,379.375586482994,6,930.182770956572,154.879434625408
"45","Eurytemora carolleeae","2016",5438.37610223,790.13363741,906.396017038333,131.688939568333,1031.42530791251,137.41354227046,6,421.077618696446,56.0988437184992
"46","Eurytemora carolleeae","2017",2696.01637756,388.604811489,449.336062926667,64.7674685815,331.180416265655,45.2794333015937,6,135.203838775564,18.4852512385481
"47","Eurytemora carolleeae","2018",3238.26749335,492.149378919,539.711248891667,82.0248964865,858.37946974922,137.204282654624,6,350.431951094396,56.0134138380711
"48","Eurytemora carolleeae","2019",2605.9301271,411.65004468,434.32168785,68.60834078,598.462681643252,94.3040031639904,6,244.321366687277,38.4994480755978
"49","Thermocyclops crassus","2012",0,0,0,0,0,0,6,0,0
"50","Thermocyclops crassus","2013",0,0,0,0,0,0,6,0,0
"51","Thermocyclops crassus","2014",6.805975766,3.138298786,1.13432929433333,0.523049797666667,2.77852797140798,1.28120511434932,6,1.13432929433333,0.523049797666667
"52","Thermocyclops crassus","2015",31.82597752,38.12272789,5.30432958666667,6.35378798166667,12.9929009148813,15.5635384889115,6,5.30432958666667,6.35378798166667
"53","Thermocyclops crassus","2016",329.0660286,140.5314994,54.8443381,23.4219165666667,77.5763596057077,28.8198729942755,6,31.6704161894401,11.7656638812986
"54","Thermocyclops crassus","2017",0,0,0,0,0,0,6,0,0
"55","Thermocyclops crassus","2018",165.84391783,56.011247379,27.6406529716667,9.3352078965,58.5445050316729,19.7990736771937,6,23.9006940952335,8.08293798148242
"56","Thermocyclops crassus","2019",71.11035842,22.66369931,11.8517264033333,3.77728321833333,29.0306822592376,9.25241649889453,6,11.8517264033333,3.77728321833333
