EventCodeKey,SAMPLENUM,Station,Date,CollectionDateString,RotiferSamples_SiteDepth,LatitudeDD,LongitudeDD,Mesh,Strata,Bot Z,Top Z,pNAUPLII,ROTIFER,VELIGER,SampleDepthCode,Depth,Temperature_C,ChlA_ugL,SampleChlA_SiteDepth
stn58_20180524_D_LG,8022-a,stn58,2018-05-24,20180524,89,43.3281,-77.43873333,64,epi,20,0,1278.9,388.4,773.8,MEP,5,5.8,4.334118481,89
stn12_20180725_D_LEII,8170-a,stn12,2018-07-25,20180725,108,43.50366667,-79.35466667,64,epi,20,0,1995.9,1892.3,120.2,UDCL,20,8.42,4.24,108
stn19_20180725_D_LEII,8169-a,stn19,2018-07-25,20180725,105,43.38316667,-79.28516667,64,epi,20,0,978.7,1530.1,15286.1,DCL,20,9.8,4.24,105
stn55_20180815_D_LG,18GO55I54,stn55,2018-08-15,20180815,198,43.44361667,-77.438335,64,epi,20,0,1793.57,6498.99,2026.76,LEP,11,23.9,4.12,198
stn55_20180620_D_LG,8061-a,stn55,2018-06-20,20180620,190.4,43.443,-77.43803333,64,epi,20,0,14074.9,104.7,44.5,LEP,6,10.6,4.116709424,190.4
stn716_20180622_D_LG,8060-a,stn716,2018-06-22,20180622,147.5,43.443,-77.43803333,64,epi,20,0,10905.8,856.7,217.6,DCL,15,7.5,4.057659003,147.5
stn28_20180521_D_LG,8001-a,stn28,2018-05-21,20180521,61.7,43.77628333,-78.86028667,64,epi,20,0,478.2,529.9,91.5,SRF,2,5.2,3.988,61.7
stn715_20180621_D_LG,8066-a,stn715,2018-06-21,20180621,149.3,43.63643333,-76.96826667,64,epi,20,0,5496.5,2923.6,3180.6,lDCL,23.1,8.2,3.957884154,149.3
stn715_20180621_D_LG,8066-c,stn715,2018-06-21,20180621,149.3,43.63643333,-76.96826667,64,hypo,100,50,10,2.3,19.9,lDCL,23.1,8.2,3.957884154,149.3
stn715_20180621_D_LG,8066-b,stn715,2018-06-21,20180621,149.3,43.63643333,-76.96826667,64,meta,50,20,212.3,65.3,231.7,lDCL,23.1,8.2,3.957884154,149.3
stn60_20180815_D_LG,18GO55I74,stn60,2018-08-15,20180815,156,43.579985,-77.199715,64,epi,20,0,5853.91,13327.8,13376.78,DCL,11.7,16,3.936,156
stn34_20180727_D_LEII,8159-a,stn34,2018-07-27,20180727,140,43.4575,-78.75633333,64,epi,20,0,1889.5,1151.4,18810.1,UDCL,15,12.5,3.92,140
stn34_20180727_D_LEII,8159-b,stn34,2018-07-27,20180727,140,43.4575,-78.75633333,64,meta,50,20,1510,507.6,3351,UDCL,15,12.5,3.92,140
stn34_20180727_D_LEII,8159-c,stn34,2018-07-27,20180727,140,43.4575,-78.75633333,64,hypo,100,50,722.6,89.2,567.6,UDCL,15,12.5,3.92,140
stn39_20180522_D_LG,8016-a,stn39,2018-05-22,20180522,153,43.48628333,-78.0005,64,epi,20,0,1558.5,529.9,261.6,MEP,7,5.2,3.912,153
stn41_20180809_D_Limnos,DFO424-a,stn41,2018-08-09,20180809,128.43,43.716667,-78.026667,64,epi,6.5,0,521.9,305.8,505.2,Fixed Depth,20,NA,3.88835,128.43
stn41_20180809_D_Limnos,DFO424-a,stn41,2018-08-09,20180809,128.43,43.716667,-78.026667,64,epi,6.5,0,521.9,305.8,505.2,DCM,26,NA,3.88835,128.43
stn12_20180524_D_LJ,DFO287-a,stn12,2018-05-24,20180524,107,43.503333,-79.353333,64,epi,20,0,686.7,463.2,756.9,Fixed Depth,20,NA,3.840021,107
stn9_20180524_D_LJ,DFO284-a,stn9,2018-05-24,20180524,61,43.586667,-79.395,64,epi,20,0,1561.5,1174.7,9273.4,Fixed Depth,20,NA,3.819805,61
stn716_20180809_D_Limnos,DFO431-a,stn716,2018-08-09,20180809,150.2,43.596667,-77.44,64,epi,9,0,299.2,1177.6,0,Fixed Depth,20,NA,3.801965,150.2
stn25_20180814_N_LG,18GO56I34,stn25,2018-08-14,20180814,140,43.51758667,-79.08051833,64,epi,20,0,2730.14,4031.44,22197.11,DCL,20,7.6,3.772,140
stn41_20180814_D_LG,18GO56I74,stn41,2018-08-14,20180814,132,43.71650333,-78.027165,64,epi,20,0,4440,13016.3,4681.45,DCL,24,4.6,3.7,132
stn39_20180620_D_LG,8056-a,stn39,2018-06-20,20180620,153.7,43.48628333,-78.00055,64,epi,20,0,4115.1,427,405.8,SRF,1.9,10.2,3.678030974,153.7
stn69_20180802_D_Limnos,DFO398-a,stn69,2018-08-02,20180802,182.4,43.6078,-76.7142,64,epi,12,0,143,564.6,0,Fixed Depth,20,NA,3.626913,182.4
stn35_20180619_D_LG,8045-a,stn35,2018-06-19,20180619,29,43.36341667,-78.72616667,64,epi,20,0,3254.9,2742.3,10502.4,UDCL,12,13.7,3.626637594,29
stn18_20180725_D_LEII,8168-a,stn18,2018-07-25,20180725,85,43.303,-79.27816667,64,epi,20,0,222,10.6,5153.6,LDCL,40,4.5,3.608,85
stn9_20180524_D_LJ,DFO284-a,stn9,2018-05-24,20180524,61,43.586667,-79.395,64,epi,20,0,1561.5,1174.7,9273.4,NA,20,NA,3.6,61
stn715_20180621_D_LG,8066-c,stn715,2018-06-21,20180621,149.3,43.63643333,-76.96826667,64,hypo,100,50,10,2.3,19.9,LEP,8,12.9,3.589349289,149.3
stn715_20180621_D_LG,8066-a,stn715,2018-06-21,20180621,149.3,43.63643333,-76.96826667,64,epi,20,0,5496.5,2923.6,3180.6,LEP,8,12.9,3.589349289,149.3
stn715_20180621_D_LG,8066-b,stn715,2018-06-21,20180621,149.3,43.63643333,-76.96826667,64,meta,50,20,212.3,65.3,231.7,LEP,8,12.9,3.589349289,149.3
stn39_20180620_D_LG,8056-a,stn39,2018-06-20,20180620,153.7,43.48628333,-78.00055,64,epi,20,0,4115.1,427,405.8,LEP,6,8.1,3.589285658,153.7
stn62_20180523_D_LG,8024-a,stn62,2018-05-23,20180523,47.3,43.82793333,-76.99306667,64,epi,20,0,660.4,616.8,1040.7,SRF ,2,8.3,3.548943021,47.3
stn28_20180521_D_LG,8001-a,stn28,2018-05-21,20180521,61.7,43.77628333,-78.86028667,64,epi,20,0,478.2,529.9,91.5,10,10,5,3.516,61.7
stn33_20180801_N_LEII,8164-c,stn33,2018-08-01,20180801,141.6,43.59716667,-78.81533333,64,hypo,100,50,99.5,23.7,247.4,UDCL,11,13,3.484,141.6
stn33_20180801_N_LEII,8164-a,stn33,2018-08-01,20180801,141.6,43.59716667,-78.81533333,64,epi,20,0,2172.3,1106.8,7985.6,UDCL,11,13,3.484,141.6
stn33_20180801_N_LEII,8164-b,stn33,2018-08-01,20180801,141.6,43.59716667,-78.81533333,64,meta,50,20,1096.7,94,963.9,UDCL,11,13,3.484,141.6
stn12_20180725_D_LEII,8170-a,stn12,2018-07-25,20180725,108,43.50366667,-79.35466667,64,epi,20,0,1995.9,1892.3,120.2,LEP,18,15.3,3.48,108
stn12_20180813_N_LG,18GO56I14,stn12,2018-08-13,20180813,106,43.503185,-79.35308333,64,epi,20,0,2542.8,3606.25,7433.4,DCL,17,10,3.476,106
stn33_20180814_D_LG,18GO56I54,stn33,2018-08-14,20180814,135.1,43.59595,-78.8145,64,epi,20,0,1289.01,10853.56,8835.78,DCL,8.4,18.5,3.468,135.1
stn41_20180620_D_LG,8054-a,stn41,2018-06-20,20180620,127.7,43.715785,-78.02808833,64,epi,20,0,7790.5,1659.8,6230.5,DCL,18,5.6,3.429739226,127.7
stn70_20180621_D_LG,8068-a,stn70,2018-06-21,20180621,166.5,43.54175167,-76.62152,64,epi,20,0,15245.4,348.6,162.1,30,30,NA,3.426939421,166.5
stn34_20180731_N_LEII,8165-c,stn34,2018-07-31,20180731,141,43.4615,-78.75933333,64,hypo,100,50,66.4,8.7,516.4,UDCL,15,9.5,3.408,141
stn34_20180731_N_LEII,8165-b,stn34,2018-07-31,20180731,141,43.4615,-78.75933333,64,meta,50,0,906,304.6,2010.6,UDCL,15,9.5,3.408,141
stn34_20180731_N_LEII,8165-a,stn34,2018-07-31,20180731,141,43.4615,-78.75933333,64,epi,20,0,2002.4,658.1,7776.5,UDCL,15,9.5,3.408,141
stn41_20180620_D_LG,8054-a,stn41,2018-06-20,20180620,127.7,43.715785,-78.02808833,64,epi,20,0,7790.5,1659.8,6230.5,UDCL,10.9,11.6,3.383012187,127.7
stn27_20180726_D_LEII,8157-a,stn27,2018-07-26,20180726,102,43.69,-78.8305,64,epi,20,0,5005,951.5,0,UDCL,15,11,3.352,102
stn12_20180725_D_LEII,8170-a,stn12,2018-07-25,20180725,108,43.50366667,-79.35466667,64,epi,20,0,1995.9,1892.3,120.2,DCL,24,6.35,3.348,108
stn12_20180524_D_LJ,DFO287-a,stn12,2018-05-24,20180524,107,43.503333,-79.353333,64,epi,20,0,686.7,463.2,756.9,NA,20,NA,3.3,107
stn18_20181003_D_Cisco,DFO350-a,stn18,2018-10-03,20181003,87.7,43.303333,-79.278333,64,epi,18,0,259.8,187.8,19350,Epi,16,NA,3.271089,87.7
stn39_20180620_D_LG,8056-a,stn39,2018-06-20,20180620,153.7,43.48628333,-78.00055,64,epi,20,0,4115.1,427,405.8,UDCL,11,6.8,3.248918523,153.7
stn33_20180726_D_LEII,8158-c,stn33,2018-07-26,20180726,145,43.596,-78.81633333,64,hypo,100,50,34.3,2.5,112.5,MEP,6,13.6,3.22,145
stn33_20180726_D_LEII,8158-b,stn33,2018-07-26,20180726,145,43.596,-78.81633333,64,meta,50,20,115.2,14.8,64.6,MEP,6,13.6,3.22,145
stn33_20180726_D_LEII,8158-a,stn33,2018-07-26,20180726,145,43.596,-78.81633333,64,epi,20,0,1010.7,641.8,576.1,MEP,6,13.6,3.22,145
stn63_20180621_D_LG,8065-a,stn63,2018-06-21,20180621,85.2,43.73246667,-77.01631667,64,epi,20,0,890.2,3144.3,5406.6,UDCL,14,10.3,3.198012987,85.2
stn58_20180620_D_LG,8062-a,stn58,2018-06-20,20180620,87.1,43.32793333,-77.4379,64,epi,20,0,9246.5,5152.3,1983.5,UDCL,10,13.1,3.196379768,87.1
stn19_20180725_D_LEII,8169-a,stn19,2018-07-25,20180725,105,43.38316667,-79.28516667,64,epi,20,0,978.7,1530.1,15286.1,LEP,10,16.2,3.192,105
stn39_20180810_D_Limnos,DFO436-a,stn39,2018-08-10,20180810,153.57,43.486667,-78,64,epi,7,0,499.2,1260.9,302.6,Fixed Depth,20,NA,3.176322,153.57
stn715_20180621_D_LG,8066-a,stn715,2018-06-21,20180621,149.3,43.63643333,-76.96826667,64,epi,20,0,5496.5,2923.6,3180.6,NA,11,NA,3.165497077,149.3
stn715_20180621_D_LG,8066-b,stn715,2018-06-21,20180621,149.3,43.63643333,-76.96826667,64,meta,50,20,212.3,65.3,231.7,NA,11,NA,3.165497077,149.3
stn715_20180621_D_LG,8066-c,stn715,2018-06-21,20180621,149.3,43.63643333,-76.96826667,64,hypo,100,50,10,2.3,19.9,NA,11,NA,3.165497077,149.3
stn27_20180619_D_LG,8042-a,stn27,2018-06-19,20180619,102.5,43.68971667,-78.82913333,64,epi,20,0,4111.2,148.9,357.5,DCL,24.9,4.6,3.140532154,102.5
stn34_20180731_N_LEII,8165-a,stn34,2018-07-31,20180731,141,43.4615,-78.75933333,64,epi,20,0,2002.4,658.1,7776.5,DCL,20,6.9,3.128,141
stn34_20180731_N_LEII,8165-b,stn34,2018-07-31,20180731,141,43.4615,-78.75933333,64,meta,50,0,906,304.6,2010.6,DCL,20,6.9,3.128,141
stn34_20180731_N_LEII,8165-c,stn34,2018-07-31,20180731,141,43.4615,-78.75933333,64,hypo,100,50,66.4,8.7,516.4,DCL,20,6.9,3.128,141
stn42_20180620_D_LG,8053-a,stn42,2018-06-20,20180620,66.45,43.83906667,-78.03611667,64,epi,20,0,490.4,766.5,8683.9,UDCL,8,8.5,3.11919425,66.45
stn35_20180619_D_LG,8045-a,stn35,2018-06-19,20180619,29,43.36341667,-78.72616667,64,epi,20,0,3254.9,2742.3,10502.4,DCL,15,12.9,3.116733816,29
stn65_20180801_D_Limnos,DFO370-a,stn65,2018-08-01,20180801,151.8,43.423333,-76.883333,64,epi,6,0,140.4,949.6,544.9,Fixed Depth,20,NA,3.098302,151.8
stn34_20180521_D_LG,8004-a,stn34,2018-05-21,20180521,135.5,43.4622,-78.76003333,64,epi,20,0,4211.6,1355.4,1141,MEP,5,7.4,3.06,135.5
stn34_20180521_D_LG,8004-b,stn34,2018-05-21,20180521,135.5,43.4622,-78.76003333,64,meta,50,20,194.1,11.3,18.7,MEP,5,7.4,3.06,135.5
stn34_20180521_D_LG,8004-c,stn34,2018-05-21,20180521,135.5,43.4622,-78.76003333,64,hypo,100,50,72.4,13.1,29.8,MEP,5,7.4,3.06,135.5
stn33_20180814_D_LG,18GO56I54,stn33,2018-08-14,20180814,135.1,43.59595,-78.8145,64,epi,20,0,1289.01,10853.56,8835.78,MEP,5,23.4,3.056,135.1
stn63_20180815_N_LG,18GO55I94,stn63,2018-08-15,20180815,89,43.73126667,-77.017835,64,epi,20,0,10358.35,8547.67,219.96,DCL,18.6,8.2,3.052,89
stn33_20180619_D_LG,8043-b,stn33,2018-06-19,20180619,135.7,43.59638333,-78.81388333,64,meta,50,20,5.8,0.9,12.1,UDCL,17,7.1,3.050768727,135.7
stn33_20180619_D_LG,8043-a,stn33,2018-06-19,20180619,135.7,43.59638333,-78.81388333,64,epi,20,0,3772.2,421,1494.5,UDCL,17,7.1,3.050768727,135.7
stn33_20180619_D_LG,8043-c,stn33,2018-06-19,20180619,135.7,43.59638333,-78.81388333,64,hypo,100,50,2.8,0.3,7,UDCL,17,7.1,3.050768727,135.7
stn69_20180621_N_LG,8073-a,stn69,2018-06-21,20180621,187.8,43.59906833,-76.710005,64,epi,20,0,8298.5,1170.8,246.3,DCL,12.8,8.5,3.04722655,187.8
stn69_20180621_N_LG,8073-b,stn69,2018-06-21,20180621,187.8,43.59906833,-76.710005,64,meta,50,20,9.2,0.3,8.5,DCL,12.8,8.5,3.04722655,187.8
stn69_20180621_N_LG,8073-c,stn69,2018-06-21,20180621,187.8,43.59906833,-76.710005,64,hypo,100,50,10,0.4,1.6,DCL,12.8,8.5,3.04722655,187.8
stn40_20180620_D_LG,8055-a,stn40,2018-06-20,20180620,181.7,43.58986667,-78.01195,64,epi,20,0,10996.3,466.1,321.3,LEP,4.9,13.6,3.041499677,181.7
stn33_20180726_D_LEII,8158-b,stn33,2018-07-26,20180726,145,43.596,-78.81633333,64,meta,50,20,115.2,14.8,64.6,UDCL,8,10.5,3.024,145
stn33_20180726_D_LEII,8158-c,stn33,2018-07-26,20180726,145,43.596,-78.81633333,64,hypo,100,50,34.3,2.5,112.5,UDCL,8,10.5,3.024,145
stn33_20180726_D_LEII,8158-a,stn33,2018-07-26,20180726,145,43.596,-78.81633333,64,epi,20,0,1010.7,641.8,576.1,UDCL,8,10.5,3.024,145
stn34_20180727_D_LEII,8159-a,stn34,2018-07-27,20180727,140,43.4575,-78.75633333,64,epi,20,0,1889.5,1151.4,18810.1,DCL,22,6.4,3.016,140
stn34_20180727_D_LEII,8159-c,stn34,2018-07-27,20180727,140,43.4575,-78.75633333,64,hypo,100,50,722.6,89.2,567.6,DCL,22,6.4,3.016,140
stn34_20180727_D_LEII,8159-b,stn34,2018-07-27,20180727,140,43.4575,-78.75633333,64,meta,50,20,1510,507.6,3351,DCL,22,6.4,3.016,140
stn69_20180621_D_LG,8067-c,stn69,2018-06-21,20180621,192.1,43.59906833,-76.710005,64,hypo,100,50,28,2.3,8.4,SRF,2.1,13.8,2.987115597,192.1
stn69_20180621_D_LG,8067-b,stn69,2018-06-21,20180621,192.1,43.59906833,-76.710005,64,meta,50,20,17.8,3,5.4,SRF,2.1,13.8,2.987115597,192.1
stn69_20180621_D_LG,8067-a,stn69,2018-06-21,20180621,192.1,43.59906833,-76.710005,64,epi,20,0,6445.1,732.4,348.7,SRF,2.1,13.8,2.987115597,192.1
stn35_20180619_D_LG,8045-a,stn35,2018-06-19,20180619,29,43.36341667,-78.72616667,64,epi,20,0,3254.9,2742.3,10502.4,LEP,5,17.2,2.964738372,29
stn49_20180809_D_Limnos,DFO428-a,stn49,2018-08-09,20180809,47.1,43.771667,-77.438333,64,epi,5.5,0,368.6,1188.8,334.1,Fixed Depth,20,NA,2.92992,47.1
stn8_20180725_D_LEII,8172-a,stn8,2018-07-25,20180725,15,43.62333333,-79.45333333,64,epi,12,0,89.4,658.2,7212.9,SRF,2,22,2.924,15
stn40_20180810_D_Limnos,DFO440-a,stn40,2018-08-10,20180810,182.35,43.59,-78.011667,64,epi,7.5,0,197.7,1403.5,78.4,Fixed Depth,20,NA,2.921006,182.35
stn33_20180726_D_LEII,8158-c,stn33,2018-07-26,20180726,145,43.596,-78.81633333,64,hypo,100,50,34.3,2.5,112.5,LEP,6,13.6,2.916,145
stn33_20180726_D_LEII,8158-a,stn33,2018-07-26,20180726,145,43.596,-78.81633333,64,epi,20,0,1010.7,641.8,576.1,LEP,6,13.6,2.916,145
stn33_20180726_D_LEII,8158-b,stn33,2018-07-26,20180726,145,43.596,-78.81633333,64,meta,50,20,115.2,14.8,64.6,LEP,6,13.6,2.916,145
stn33_20180814_D_LG,18GO56I54,stn33,2018-08-14,20180814,135.1,43.59595,-78.8145,64,epi,20,0,1289.01,10853.56,8835.78,SRF,2,23.7,2.904,135.1
stn70_20180621_D_LG,8068-a,stn70,2018-06-21,20180621,166.5,43.54175167,-76.62152,64,epi,20,0,15245.4,348.6,162.1,MEP,5.1,12.6,2.89569774,166.5
stn40_20180620_D_LG,8055-a,stn40,2018-06-20,20180620,181.7,43.58986667,-78.01195,64,epi,20,0,10996.3,466.1,321.3,LDCL,16,6.5,2.865111998,181.7
stn33_20180801_N_LEII,8164-b,stn33,2018-08-01,20180801,141.6,43.59716667,-78.81533333,64,meta,50,20,1096.7,94,963.9,DCL,14,10.5,2.852,141.6
stn33_20180801_N_LEII,8164-c,stn33,2018-08-01,20180801,141.6,43.59716667,-78.81533333,64,hypo,100,50,99.5,23.7,247.4,DCL,14,10.5,2.852,141.6
stn33_20180801_N_LEII,8164-a,stn33,2018-08-01,20180801,141.6,43.59716667,-78.81533333,64,epi,20,0,2172.3,1106.8,7985.6,DCL,14,10.5,2.852,141.6
stn19_20180725_D_LEII,8169-a,stn19,2018-07-25,20180725,105,43.38316667,-79.28516667,64,epi,20,0,978.7,1530.1,15286.1,MEP,6,18,2.848,105
stn41_20180620_D_LG,8054-a,stn41,2018-06-20,20180620,127.7,43.715785,-78.02808833,64,epi,20,0,7790.5,1659.8,6230.5,LEP,7,14.4,2.841759083,127.7
stn58_20180524_D_LG,8022-a,stn58,2018-05-24,20180524,89,43.3281,-77.43873333,64,epi,20,0,1278.9,388.4,773.8,LEP,10,5.9,2.82773885,89
stn27_20180521_D_LG,8002-a,stn27,2018-05-21,20180521,101.3,43.68651833,-78.82731167,64,epi,20,0,275.9,404.9,88.3,SRF,2,4.3,2.824,101.3
stn63_20180523_D_LG,8025-a,stn63,2018-05-23,20180523,86.3,43.73163333,-77.00165333,64,epi,20,0,216.9,649.6,7.3,MEP,10,4.6,2.820633286,86.3
stn27_20180726_D_LEII,8157-a,stn27,2018-07-26,20180726,102,43.69,-78.8305,64,epi,20,0,5005,951.5,0,LEP,8,19.4,2.792,102
stn55_20180620_D_LG,8061-a,stn55,2018-06-20,20180620,190.4,43.443,-77.43803333,64,epi,20,0,14074.9,104.7,44.5,DCL,12,7.7,2.787756795,190.4
stn35_20180619_D_LG,8045-a,stn35,2018-06-19,20180619,29,43.36341667,-78.72616667,64,epi,20,0,3254.9,2742.3,10502.4,LDCL,18,12.7,2.777406002,29
stn715_20180801_D_Limnos,DFO378-a,stn715,2018-08-01,20180801,153.69,43.635,-76.968333,64,epi,6,0,384.4,1617,0,Fixed Depth,20,NA,2.743076,153.69
stn715_20180801_D_Limnos,DFO378-a,stn715,2018-08-01,20180801,153.69,43.635,-76.968333,64,epi,6,0,384.4,1617,0,DCM,29,NA,2.743076,153.69
